subject,relation,object,topic,old_index
It,is fascinating tale of,Roberto,1,234
It,is,tale,1,235
It,is,fascinating caught,1,236
It,is tale of,Robert Jordon,1,237
It,is,fascinating tale,1,238
tale,is,fascinating,1,239
Robert,has,tale,1,240
Robert,is at,tale,1,241
I,enjoyed,them,1,242
years,is,Many,1,243
mini-series,based,Winds,1,244
ph,goes,nuts,0,247
story,has failed,to advance,1,248
you,feel,story has failed,1,249
you,feel,like story has failed,1,250
Winter,is at,lot,1,251
lot,is,story,1,252
King,has,landing,1,253
Throne,is,center,1,254
Dance,is,novel,1,255
Dance,is fifth novel in,Song,1,256
awaited epic fantasy novels,is in,recent history of genre,1,257
Dance,is novel in,Song,1,258
Dance,is,fifth novel,1,259
fifth novel,is in,Song of Ice series,1,260
Dance,is with,Dragons,1,261
Dragons,has,Dance,1,262
Dragons,is at,Dance,1,263
Hydro Pro sponges,is in,my 75 gallon goldfish tank,0,265
I,ordered,one of these,0,266
I,ordered,one these,0,267
I,ordered,sponges,0,268
I,use for,bath for additions,0,269
I,use for,bath,0,270
I,use for,bath for new additions,0,271
I,use for,bath for new additions to tank,0,272
I,use for,bath for additions to tank,0,273
I,use,bath,0,274
I,use,new,0,275
I,use,additions,0,276
it,wasnt,bad,0,277
it,wasnt,too bad,0,278
parts,were,clogged,0,279
it,disrupted,water,0,280
while,is at,parts,0,281
while,wasnt,bad,0,282
while,wasnt,parts,0,283
while,wasnt,other,0,284
while,wasnt,surface,0,285
properly,say,I,0,287
properly,say,instructions,0,288
properly,say,more,0,289
properly,say,hour,0,290
thing,can really move,water,0,291
thing,can move,water,0,292
thing,move,water,0,293
quick filters,is in,my water dragon enclosure,0,294
I,use along,it,0,295
filters,is,quick,0,296
I,use,quick,0,297
I,use,filters,0,298
I,use,water,0,299
deal,is,great,0,300
they,love,them,0,301
I,have,years,0,302
book,was,interesting,1,303
book,was,interesting,1,304
I,'ve,product,0,305
I,'ve,expensive,0,306
I,'ve,penguin,0,307
We,buy often,them,0,308
We,buy,them,0,309
I,change,about 10 % of my water,0,310
I,change,about 10 %,0,311
I,change,%,0,312
I,change,weekly,0,313
I,change,water,0,314
that may home,is with,product,0,315
my African Cichlids,be at,more home with product,0,316
my African Cichlids,be at,home with product,0,317
my Cichlids,be at,more home with product,0,318
my Cichlids,be at,home with product,0,319
Cichlids,is,African,0,320
Cichlids,be,home,0,321
my gallon community tank,is,planted,0,322
my 55 gallon community tank,is,planted,0,323
tank,planted,insufficient,0,324
My cat,carry,them,0,325
My cat,carry around,them,0,326
cat,carry,sofa,0,327
I,order from,Amazon,0,328
one,get,one free at store,0,329
one,get,one free at local store,0,330
I,find,it,0,331
one,get,one free,0,332
Amazon,find,free,0,333
Amazon,find,store,0,334
Amazon,find,local,0,335
fishes,are,are treated,0,336
fishes,are,are treated for parasites,0,337
their chance,is,they eat,0,338
fishes,are,when are treated for parasites,0,339
their chance,is,they continually eat,0,340
their chance,is,if they eat,0,341
their best chance,is,if they eat,0,342
their chance,is,if they continually eat,0,343
fishes,are,when are treated,0,344
their best chance,is,they eat,0,345
their best chance,is,they continually eat,0,346
their best chance,is,if they continually eat,0,347
fishes,are,parasites,0,348
fishes,are,best,0,349
fishes,are,diseases,0,350
I,give,toothpaste,0,351
I,give,try,0,352
reviews,is,rave,0,353
you,'re going,to find,0,354
you,find on,dog toothpaste,0,355
you,'re going,find on enzymatic dog toothpaste,0,356
you,'re going,find on dog toothpaste,0,357
you,'re going,to find on enzymatic dog toothpaste,0,358
you,find on,enzymatic dog toothpaste,0,359
you,'re going,to find on dog toothpaste,0,360
price,is,cheapest,0,361
ounce,has,price,0,362
ounce,is at,price,0,363
ounce,'re,enzymatic,0,364
ounce,'re,dog,0,365
ounce,'re,toothpaste,0,366
bag,is,PRE,0,367
I,brought home,my dog,0,368
I,brought,my dog,0,369
WeeWee,is at,pads,0,370
pads,Have,dog,0,371
pads,Have,great,0,372
Willi Muenzenberg,has,wife,1,373
author 's interview,is with,Babette,1,374
astonishing item,is in,book,1,375
item,is,astonishing,1,376
item,comes,book,1,377
item,comes,author,1,378
they,found,homicide necessary with frequency,1,380
they,found,homicide,1,381
they,found,homicide necessary,1,382
they,found,homicide necessary with appalling frequency,1,383
Scott,is at,crime,1,384
I,loved,minute of this,1,386
I,have,Norse heritage,1,387
I,have,heritage,1,388
heritage,is,Norse,1,389
heritage,is at,minute,1,390
heritage,loved,minute,1,391
you,will like,one,1,392
you,will like,one,1,393
adventure,is,real,1,394
you,like,real,1,395
you,like,adventure,1,396
you,like,believable,1,397
you,like,one,1,398
you,like,historic,1,399
she,ate,it,0,400
she,ate,it,0,401
chihuahua,ate,short,0,402
chihuahua,ate,time,0,403
you,use,Tennis balls,0,404
balls,get,you,0,405
balls,get,sure,0,406
balls,get,Tennis,0,407
balls,get,medium,0,408
My kitty,loves,treats,0,410
kitty,loves,treats,0,411
pieces,is,hard,0,412
pieces,allow,pets,0,413
pieces,allow,food,0,414
community,love,tankmates,0,415
week,loves,old,0,416
week,loves,puppy,0,417
week,loves,duck,0,418
It,has,size,0,419
It,'s good size for,price,0,420
It,'s size for,especially price,0,421
It,'s good,price,0,422
It,'s size for,price,0,423
It,'s good size for,especially price,0,424
It,has,good size,0,425
size,is,good,0,426
It,'s,good,0,427
It,'s,size,0,428
It,'s,price,0,429
It,is,tall,0,430
It,is,month,0,431
It,is,sturdy,0,432
It,is,old,0,433
I,got for,my puppy,0,434
quality,got,pad,0,435
supplements,been,I,0,436
set,gave,me,0,437
set,gave,everything,0,438
I,wanted in,toothbrush set,0,439
I,wanted in,canine toothbrush set,0,440
everything,wanted,canine,0,441
everything,wanted,toothbrush,0,442
it,treats,4 types of worms,0,443
It,is,good,0,444
It,is,dewormer,0,445
it,treats,4 different types,0,446
it,treats,4 different types of worms,0,447
It,is,good dewormer,0,448
it,treats,4 types,0,449
dewormer,is,good,0,450
seeds,is,black,0,451
seeds,are,poppy,0,452
seeds,are,sure,0,453
stone,is,natural,0,454
oil,is at,wonders,0,455
oil,has,wonders,0,456
Doberman,is with,dry itchy winter skin,0,457
I,have,Doberman with winter skin,0,458
I,have,Doberman with itchy winter skin,0,459
I,have,Doberman,0,460
I,have,Doberman with dry winter skin,0,461
I,have,Doberman with dry itchy winter skin,0,462
her satisfaction,is with,Grizzly Salmon Oil,0,463
dog,say,exact,0,464
dog,say,words,0,465
dog,say,actions,0,466
instructions,is with,right dosage,0,467
My dog,has cared,much,0,468
dog,cared,much,0,469
dog,cared,food,0,470
one,is,so far worst,0,471
one,is,far worst,0,472
one,is,worst,0,473
one,is worst of,them,0,474
sturdy,is,large,0,475
I,am breeding,ramshorn snails,0,477
I,am breeding ramshorn snails for,my turtle,0,478
I,am,ramshorn,0,479
We,purchased along,coupler,0,481
We,purchased few months ago along,coupler for our 2 dogs,0,482
We,purchased along,coupler for our 2 large dogs,0,483
We,purchased along,coupler for our 2 dogs,0,484
We,purchased few months ago along,coupler for our 2 large dogs,0,485
We,purchased months ago along,coupler,0,486
We,purchased months ago along,coupler for our 2 large dogs,0,487
We,purchased few months ago along,coupler,0,488
We,purchased months ago along,coupler for our 2 dogs,0,489
months,is,few,0,490
I,love,books,1,491
I,love,books,1,492
it,realize,I,0,493
it,realize,thick,0,494
it,realize,rope,0,495
it,realize,toy,0,496
dog,is,heavy,0,497
chewer,starts,rope,0,498
I,have had for,month,0,499
I,have,month,0,500
watt,is,hot,0,501
watt,is,enough,0,502
I,wish,type,0,503
I,wish,type of airline hose,0,504
I,was,around 30 years ago when kid,0,505
I,was,kid,0,506
I,was,around 30 years ago kid,0,507
I,was,when kid,0,508
airline,has,type,0,509
airline,is at,type,0,510
amount,keep fish during,winter months,0,511
amount,keep,fish,0,512
substantial amount,keep,fish,0,513
substantial amount,keep fish during,winter months,0,514
amount,is,substantial,0,515
hose,has,amount,0,516
hose,is at,amount,0,517
tubing,is,easy,0,518
I,like,color,0,519
tubing,work,easy,0,520
tubing,work,color,0,521
tubing,work,flexibility,0,522
great,use with,pump on my 75 gallon tank,0,523
great,use with,pump,0,524
pump,use,gallon,0,525
pump,use,tank,0,526
Flashman,is,rogue,1,527
rogue,is,bounder,1,528
rogue,is,archetypical,1,529
rogue,is,cad,1,530
me,stay away,Fiesta bunny food,0,531
my vet,told,me,0,532
bunny,is,chunky,0,533
vet,told,food,0,534
rubber,is,snack,0,535
purchasing,buy,it,0,536
collie,like,undercoat,0,537
My elderly hair Birman,can no longer groom because,arthritis,0,538
My long hair Birman,can groom because,arthritis,0,539
My elderly long hair Birman,can groom because,arthritis,0,540
My long hair Birman,can longer groom because,arthritis,0,541
My elderly long hair Birman,can longer groom because,arthritis,0,542
My hair Birman,can no longer groom because,arthritis,0,543
My long hair Birman,can no longer groom because,arthritis,0,544
My elderly long hair Birman,can no longer groom because,arthritis,0,545
My hair Birman,can longer groom because,arthritis,0,546
My elderly hair Birman,can longer groom because,arthritis,0,547
My hair Birman,can groom because,arthritis,0,548
My elderly hair Birman,can groom because,arthritis,0,549
Birman,is,3,0,550
it,is,successful,1,551
it,is,why so successful,1,552
Boleyn Girl,is,compelling story,1,553
it,is,why successful,1,554
Boleyn Girl,is,story,1,555
it,is,easy,1,556
Girl,is,compelling,1,557
Other Boleyn Girl,is,story,1,558
Other Boleyn Girl,is,compelling story,1,559
it,is,so successful,1,560
Boleyn,is,Other,1,561
story,see,easy,1,562
story,see,successful,1,563
I,love,spray,0,564
I,love,spray,0,565
litters,is,Most,0,566
comb,is,Good,0,567
comb,works,hand,0,568
comb,works,heavy,0,569
comb,works,price,0,570
comb,works,good,0,571
Henry VIII,has,mistress before he became,1,572
take,is,told by her overlooked sister,1,573
different take,is,told by her sister,1,574
different take,is,told by her overlooked sister,1,575
take,is,told by her sister,1,576
take,is,different,1,577
take,is,story,1,578
take,is,novel,1,579
box,works,I,0,580
original Kong,bought,her,0,581
Kong,bought,her,0,582
I,bought,her,0,583
dog,has,original,0,584
dog,has,replacement,0,585
it,has worked for,nearly 3 months,0,586
I,try,one,0,587
deterioration,has,signs,0,588
deterioration,is at,signs,0,589
deterioration,are,He,0,590
deterioration,are,signs,0,591
you,have,chewer,0,592
you,have,strong chewer,0,593
chewer,is,strong,0,594
chewer,know,best,0,595
chewer,know,toy,0,596
house,toss,it,0,598
kind,is with,internal ramp,0,599
We,have,3 Maine Coon cats,0,600
I,have,several,0,601
I,LOVE As,dog trainer,0,602
I,recommend,them,0,603
you,can use,flat side,0,604
side,scrape hair ofd,furniture,0,605
tool,works,great,0,606
flat side,scrape hair too ofd,furniture,0,607
great,get out,cat hair,0,608
side,scrape hair too ofd,furniture,0,609
you,can use,side,0,610
flat side,scrape hair ofd,furniture,0,611
great,get out,loose cat hair,0,612
our cat,is,basically useless,0,613
our cat,is useless For,brushing,0,614
our cat,is basically useless For,brushing,0,615
our cat,is,useless,0,616
item,is,useless,0,617
they,work in,conjunction,0,618
I,purchased,item,0,619
they,work perfectly in,conjunction,0,620
my new medium coat Pomeranian,love,brush,0,621
my medium coat Pomeranian,love,brush,0,622
cats,be,new,0,623
cats,be,medium,0,624
cats,be,coat,0,625
I,read,reviews,0,626
I,read,great reviews,0,627
I,see for,myself,0,628
reviews,is,great,0,629
I,love,book,1,630
I,love,book,1,631
I,have found on,Amazon,0,632
ferrets,love,it,0,633
taste,is,great,0,634
It,is made from,products,0,635
It,is made from,good products,0,636
It,is,made,0,637
products,is,good,0,638
It,is,good,0,639
It,is,products,0,640
It,is,name,0,641
Wurts ' latest book,is,in word magnificent,1,642
Wurts ' latest book,is in,Wars of Light,1,643
Wurts ' latest book,is magnificent in,word,1,644
Wurts ' book,is,magnificent,1,645
series,is,magnificent,1,646
Wurts ' book,is magnificent in,word,1,647
Wurts ' latest book,is,magnificent,1,648
Wurts ' book,is,in word magnificent,1,649
series,is magnificent in,word,1,650
Wurts,is at,book,1,651
Wurts,is,latest,1,652
Wurts,is,book,1,653
Wurts,is,Wars,1,654
Wurts,is,magnificent,1,655
Wurts,is,series,1,656
interesting,play,I,0,657
interesting,play,own,0,658
interesting,play,ball,0,659
interesting,play,pit,0,660
!,Works,great,0,662
it,fits nicely in,hand,0,663
it,fits in,hand,0,664
it,fits,hand,0,665
comb 's blades,were,sharp,0,666
comb,has,blades,0,667
hopes,is,high,0,668
blades,were,sharp,0,669
feeder,is,nice,0,670
feeder,did,lab,0,671
toy,is must for,cat owner,0,672
my cat,plays After,1 year,0,673
lessons,change,pressure,1,674
thing,is,adorable,0,675
thing,sounds like,chimp,0,676
thing,is,just adorable,0,677
thing,sounds like,real chimp,0,678
thing,sounds,adorable,0,679
thing,sounds,chimp,0,680
thing,sounds,real,0,681
Mark Mazower 's first book,is in,Hebrew,1,682
Mark Mazower,has,first book in Hebrew,1,683
Agatha Christie s Hercule Poirot,was,one of my first favorite detectives as teenager,1,684
Agatha Christie s Hercule Poirot,was,one my first favorite detectives as teenager,1,685
Agatha Christie s Hercule Poirot,was,one my detectives as teenager,1,686
Agatha Christie 8217 s Hercule Poirot,was,one my first favorite detectives as teenager,1,687
Agatha Christie 8217 s Hercule Poirot,was,one of my first detectives as teenager,1,688
Agatha Christie s Hercule Poirot,was,one of my first detectives as teenager,1,689
Agatha Christie s Hercule Poirot,was,one my first detectives as teenager,1,690
Agatha Christie 8217 s Hercule Poirot,was,one of my first favorite detectives as teenager,1,691
Agatha Christie s Hercule Poirot,was,one of my favorite detectives as teenager,1,692
Agatha Christie s Hercule Poirot,was,one my favorite detectives as teenager,1,693
Agatha Christie 8217 s Hercule Poirot,was,one of my detectives as teenager,1,694
Agatha Christie 8217 s Hercule Poirot,was,one of my favorite detectives as teenager,1,695
Agatha Christie 8217 s Hercule Poirot,was,one my favorite detectives as teenager,1,696
Agatha Christie 8217 s Hercule Poirot,was,one my first detectives as teenager,1,697
Agatha Christie 8217 s Hercule Poirot,was,one my detectives as teenager,1,698
Agatha Christie s Hercule Poirot,was,one of my detectives as teenager,1,699
#,was,first,1,700
#,was,detectives,1,701
#,was,favorite,1,702
#,was,teenager,1,703
Poirot 's deductions,was as,interesting with look,1,704
killer,was as,interesting with new look,1,705
killer,was as,to always interesting,1,706
Poirot 's deductions,was as,to interesting with new look,1,707
Poirot 's deductions,was as,to always interesting with new look,1,708
killer,was as,to interesting,1,709
Poirot 's deductions,was as,always interesting,1,710
Poirot 's deductions,was as,to interesting,1,711
killer,was as,always interesting with new look,1,712
killer,was as,to always interesting with new look,1,713
killer,was as,interesting,1,714
killer,was as,to interesting with look,1,715
killer,was as,always interesting with look,1,716
Poirot 's deductions,was as,to interesting with look,1,717
killer,was as,to interesting with new look,1,718
killer,was as,interesting with look,1,719
Poirot 's deductions,was as,to always interesting with look,1,720
Poirot 's deductions,was as,interesting with new look,1,721
Poirot,has,deductions,1,722
Poirot 's deductions,was as,to always interesting,1,723
killer,was as,to always interesting with look,1,724
killer,was as,always interesting,1,725
Poirot 's deductions,was as,interesting,1,726
Poirot 's deductions,was as,always interesting with new look,1,727
Poirot 's deductions,was as,always interesting with look,1,728
reviewers,is,many,0,729
Our animal shelter,requests,them,0,730
Our local animal shelter,requests,them,0,731
animal,is,local,0,732
shelter,requests,donations,0,733
dish,needed,pound,0,734
he,wrote,book,1,735
it,states,colors,0,736
it states,are,assorted,0,737
I,had bought along,scratch mat from target,0,738
I,put inside,catnip,0,739
I,had bought along,scratch mat,0,740
I,put,catnip,0,741
I,had,scratch,0,742
I,have visited,magical world of J,1,743
I,have visited,world,1,744
I,have visited,magical world,1,745
I,have visited,world of J,1,746
time,is,third,1,747
time,is at,world,1,748
time,have,world,1,749
time,have,magical,1,750
time,have,J,1,751
Lord,was offered in,single volume,1,752
Lord,was,offered,1,753
price,was,reasonable,1,754
price,was,VERY reasonable,1,755
Lord,was offered in,volume,1,756
Rings,was,single,1,757
Rings,was,volume,1,758
Rings,was,reasonable,1,759
Rings,was,price,1,760
buy,is,wonderful,1,761
it,has,spacing,0,762
it,has spacing,If you look at hook,0,763
it,has spacing,If you look for this,0,764
it,has spacing,you look at hook,0,765
it,has spacing,you look,0,766
it,has spacing,you look at hook for this,0,767
it,has,wide spacing,0,768
it,has spacing,you look for this,0,769
you,look at,hook,0,770
swing,slide off off,top,0,771
swing,slide off off,top of cage,0,772
it,has spacing,If you look at hook for this,0,773
it,has spacing,If you look,0,774
power,Love,chewers,0,775
My 3 power chewers,love,bones,0,776
My power chewers,love,bones,0,777
they,last about,month,0,778
dog,chew,edge,0,779
it,has,easy,0,780
dog,chew,sharp edge,0,781
it,'s easy because,shape,0,782
dog,chew edge into,bone,0,783
shape,'s,easy,0,784
shape,'s,dog,0,785
shape,'s,sharp,0,786
shape,'s,edge,0,787
he,is,chewer,0,789
dog,is,old,0,790
My dog,is,60 pound boxer,0,791
he,is,big chewer,0,792
My dog,is,9 months old 60 pound boxer,0,793
he,is,big,0,794
dog,is,months,0,795
dog,is,old,0,796
dog,is,pound,0,797
dog,is,big,0,798
dog,is,boxer,0,799
I,like,crate,0,800
I,like,crate,0,801
Jack Higgan,has,strays from usual style,1,802
Jack Higgan 's strays,write,first person book,1,803
Jack Higgan 's strays,write,person book,1,804
crate,is,Great,0,805
lab,is at,crate,0,806
We,had,lab,0,807
We,had,few,0,808
We,had,crate,0,809
We,had,smaller,0,810
We,had,sixes,0,811
Ray Bradbury,has,incredible imagination,1,812
Ray Bradbury,has,imagination,1,813
book,is,great,1,814
book,is,great,1,815
I,set up,monster,0,816
It,will,will adult kennel one day,0,817
It,will,will kennel one day,0,818
kennel,is,adult,0,819
It,be,adult,0,820
It,be,kennel,0,821
It,be,day,0,822
ground,got,higher,0,823
ground,got,higher,0,824
Knee problems,have kept,me,0,825
I,flung around,it,0,826
I,flung,it,0,827
Knee,have,problems,0,828
person,is,uncoordinated,0,829
scooper,am,I,0,830
scooper,am,uncoordinated,0,831
scooper,am,person,0,832
scooper,am,earth,0,833
it,has,amazing,0,834
concept,is,simple,0,835
design,works,amazing,0,836
design,works,great,0,837
funny,write,glowing review for upper,0,838
funny,write,review for upper,0,839
funny,write,glowing review,0,840
funny,write,review,0,841
poop,has,review,0,842
poop,is at,review,0,843
's,face,it,0,845
fun,face,'s,0,846
fun,face,dog,0,847
I,found,it not entirely convincing,1,848
night,found,convincing,1,849
Product,arrived as,promised,1,851
My dogs,liked,edible one,0,852
My dogs,liked,one,0,853
dogs,liked,edible,0,854
dogs,liked,one,0,855
I,bought,toys,0,856
I,bought,few toys,0,857
I,bought,few teething toys,0,858
I,bought,teething toys,0,859
I,have,two cats,0,860
edition,has,artwork,1,861
edition,has,big,1,862
edition,has,part,1,863
I,can appreciate,creation of convoluted combination,1,864
Christians,cheer up at,end,1,865
Christians,cheer up at,end of world,1,866
American,express,perverse reality,1,867
people,speak,American,1,868
American,express,reality,1,869
I,can appreciate,creation,1,870
I,can appreciate,creation of combination of yid intellects,1,871
I,can appreciate,creation of convoluted combination of yid intellects,1,872
I,can appreciate,creation of combination,1,873
he,uses,it,0,874
he,uses more frequently,it,0,875
Our cat,loves,to get,0,876
he,uses frequently,it,0,877
Our cat,loves,get in,0,878
Our cat,loves,to get in,0,879
cat,get,business,0,880
cat,get,open,0,881
cat,get,privacy,0,882
litter,is,box,0,883
fan,enjoyed,minute of tale of vicissitudes of life,1,884
I,enjoyed,minute of tale of vicissitudes of life,1,885
Jew,is in,small town Alaska,1,886
avid fan,enjoyed,minute of tale of vicissitudes of life,1,887
fan,is,avid,1,888
mysteries,has,fan,1,889
mysteries,is at,fan,1,890
fan,enjoyed,mysteries,1,891
fan,enjoyed,minute,1,892
fan,enjoyed,small,1,893
fan,enjoyed,tale,1,894
dog toy ball,is,as good,0,895
dog toy ball,is,good,0,896
Kong,makes,worth,0,897
Kong,makes,products,0,898
Who Fell,is,book,1,900
Who Fell,is,good book,1,901
Who Fell,is,very good book,1,902
my criticisms,follow,Moondust,1,903
my criticisms,follow aside,Moondust,1,904
Men,Fell,good,1,905
I,bought without,looking at purpose of it,0,906
I,bought as,lightning deal,0,907
I,bought without,looking at purpose,0,908
I,bought without,looking,0,909
I,bought without,really looking at purpose,0,910
I,bought without,really looking,0,911
I,bought without,really looking at purpose of it,0,912
I,'ve used stuff for,years,0,913
I,'ve used,stuff,0,914
I,'ve used for,years,0,915
years,has,stuff,0,916
years,is at,stuff,0,917
I,'ve,stuff,0,918
I,'ve,great,0,919
I,'ve,years,0,920
I,use for,my reptiles,0,921
I,use to,hydrate crickets,0,922
I,use,hydrate,0,923
I,have used on,everything from furniture,0,924
I,have used on,everything from furniture to fence,0,925
furniture,is in,my backyard,0,926
I,have used on,everything from furniture to fence in my backyard,0,927
I,have used on,everything from furniture in my backyard,0,928
I,have used on,everything,0,929
I,have,everything,0,930
he,is,fast,0,931
it,Bought for,our pit puppy,0,932
it,Bought for,our nipping pit puppy,0,933
enough,spray,it,0,934
pit,is,nipping,0,935
I,have,2 very very lazy cats,0,937
I,have,2 very lazy cats,0,938
