subject,relation,object,new_topic,old_index
Parmalat,boasts,food group at centre of one of Europe 's most painful corporate scandals,4,48
Parmalat,boasts,Italian food group at centre of one of Europe 's most painful corporate scandals,4,49
Parmalat,boasts,food group at centre of one of Europe 's corporate scandals,4,50
Parmalat,boasts,Italian food group at centre,4,51
Parmalat,boasts,Italian food group at centre of one of Europe 's painful scandals,4,52
Parmalat,boasts,Italian food group at centre of one Europe 's most painful corporate scandals,4,53
Parmalat,boasts,Italian food group,4,54
Parmalat,boasts,food group at centre of one Europe 's most painful corporate scandals,4,55
Parmalat,boasts,food group at centre of one of Europe 's most painful scandals,4,56
Parmalat,boasts,doubled profits Parmalat,4,57
Parmalat,boasts,food group at centre of one Europe 's painful scandals,4,58
Parmalat,boasts,food group at centre of one Europe 's most painful scandals,4,59
Parmalat,boasts,food group,4,60
Parmalat,boasts,food group at centre of one Europe 's painful corporate scandals,4,61
Parmalat,boasts,food group at centre of one Europe 's corporate scandals,4,62
Parmalat,boasts,Italian food group at centre of one Europe 's painful scandals,4,63
Parmalat,boasts,Italian food group at centre of one Europe 's painful corporate scandals,4,64
profits Parmalat,reported,doubling,4,65
Parmalat,boasts,food group at centre of one of Europe 's painful scandals,4,66
doubling,is in,profit,4,67
Parmalat,boasts,Italian food group at centre of one of Europe 's corporate scandals,4,68
doubled profits Parmalat,reported,doubling,4,69
Parmalat,boasts,Italian food group at centre of one of Europe 's most painful scandals,4,70
Parmalat,boasts,Italian food group at centre of one of Europe 's scandals,4,71
Parmalat,boasts,Italian food group at centre of one of Europe 's painful corporate scandals,4,72
Parmalat,boasts,Italian food group at centre of one Europe 's most painful scandals,4,73
Parmalat,boasts,profits Parmalat,4,74
doubled profits Parmalat,reported,doubling in profit,4,75
profits Parmalat,reported,doubling in profit,4,76
Parmalat,boasts,food group at centre of one Europe 's scandals,4,77
Parmalat,boasts,Italian food group at centre of one Europe 's scandals,4,78
Parmalat,boasts,food group at centre of one of Europe 's painful corporate scandals,4,79
US seeks,overturn,court ruling,4,80
Department,is,court,4,81
its executive,has said,Steel firm to cut,10,82
its chief executive,has said,Steel firm to cut,10,83
its chief executive,has said,Steel firm cut,10,84
its executive,has said,Steel firm cut,10,85
Cars,pull down,US retail figures US sales,5,86
Cars,pull down,US figures US retail sales,5,87
Cars,pull down,US retail figures US retail sales,5,88
Cars,pull down,US figures US sales,5,89
Central Bank,has left for,month in succession,5,92
Central Bank,has left,its interest rate unchanged,5,93
European Central Bank,has left for,month,5,94
European Central Bank,has left for,19th month in succession,5,95
European Central Bank,has left amid,growth fears,5,96
Central Bank,has left amid,growth fears,5,97
Central Bank,has left for,19th month,5,98
19th month,is in,succession,5,99
European Central Bank,has left at,2 %,5,100
Central Bank,has left at,2 %,5,101
European Central Bank,has left for,month in succession,5,102
European Central Bank,has left for,19th month,5,103
Central Bank,has left,its key interest rate unchanged,5,104
European Central Bank,has left,its interest rate unchanged,5,105
European Central Bank,has left,its key interest rate unchanged,5,106
ECB,holds,rates,5,107
Central Bank,has left for,month,5,108
Central Bank,has left for,19th month in succession,5,109
ECB,is at,rates,5,110
plans,demerge,its film services unit,10,111
Rank ' set,sell off,claim,10,112
claim,unveil,plans,10,113
its film services unit,sell,its media business,10,114
Rank ' set,sell off,film unit Leisure group Rank,10,115
reports claim,unveil,plans,10,116
Rank ' set,sell off,reports claim,10,117
US,is at,jobs,5,118
slight increase Prices,rose,seasonally adjusted 0,5,119
slight increase Prices,rose,adjusted 0,5,120
homes,is in,UK,5,121
increase Prices,rose,seasonally adjusted 0,5,122
increase Prices,rose,adjusted 0,5,123
Pension hitch,is,much higher,12,124
Pension hitch,is,higher,12,125
Pension hitch,is much higher than,estimated,12,126
Pension hitch,is much higher than,originally estimated,12,127
Pension hitch,is higher than,originally estimated,12,128
Pension hitch,is higher than,estimated,12,129
European shares Shares,fallen as,scale of damage,5,130
shares Shares,fallen as,scale of damage wrought by tsunamis,5,131
European shares Shares,fallen as,scale wrought,5,132
European shares Shares,fallen as,scale of damage wrought by tsunamis,5,133
European shares Shares,fallen as,scale,5,134
Asian quake hits,has become,apparent,5,135
shares Shares,fallen as,scale wrought by tsunamis,5,136
European shares Shares,fallen as,scale wrought by tsunamis,5,137
shares Shares,fallen as,scale of damage wrought by tsunamis across Asia,5,138
European shares Shares,fallen as,scale of damage wrought by tsunamis across Asia,5,139
European shares Shares,fallen as,scale of damage wrought,5,140
shares Shares,fallen as,scale wrought by tsunamis across south Asia,5,141
shares Shares,fallen as,scale of damage,5,142
shares Shares,fallen as,scale wrought,5,143
shares Shares,fallen as,scale,5,144
shares Shares,fallen as,scale of damage wrought,5,145
European shares Shares,fallen as,scale wrought by tsunamis across Asia,5,146
European shares Shares,fallen as,scale wrought by tsunamis across south Asia,5,147
European shares Shares,fallen as,scale of damage wrought by tsunamis across south Asia,5,148
shares Shares,fallen as,scale wrought by tsunamis across Asia,5,149
European shares Shares,is in,Europe 's leading reinsurers,5,150
quake hits,has become,apparent,5,151
shares Shares,fallen as,scale of damage wrought by tsunamis across south Asia,5,152
quake,is,Asian,5,153
copyright case,is in,Beijing,4,154
Honda,wins,China copyright,4,155
Japan,has,Honda,4,156
Bank,leave,rates,5,157
Bank set,are set,to remain on hold at 4,5,158
Bank set,remain on,hold,5,159
Bank set,are set,remain on hold,5,160
Bank set,are set,remain at 4,5,161
Bank set,are set,to remain,5,162
Bank set,are,set,5,163
Bank,leave rates on,hold UK interest rates,5,164
Bank set,are set,to remain at 4,5,165
Bank set,are set,remain on hold at 4,5,166
Bank set,are set,to remain on hold,5,167
Bank set,remain at,4,5,168
4,leave,rates,5,169
4,leave,hold,5,170
rival,buy,rival May Department Stores,10,171
Macy,has,owner,10,172
rival,buy,May Department Stores,10,173
Macy 's owner,buys,rival,10,174
China,suspends,26 power projects,12,175
projects,has,big,12,176
projects,has,halt,12,177
projects,has,environmental,12,178
projects,has,construction,12,179
British Airways,has blamed fuel prices for,40 % drop in profits,5,180
British Airways,has blamed,fuel prices,5,181
British Airways,has blamed fuel prices for,40 % drop,5,182
British Airways,has blamed,high fuel prices,5,183
fuel prices,hit,BA 's profits,5,184
BA,has,profits,5,185
High fuel prices,hit,BA 's profits,5,186
40 % drop,is in,profits,5,187
fuel,is,High,5,188
Ebbers,denies,WorldCom fraud Former WorldCom chief Bernie Ebbers,7,189
Bernie,has,claims,7,190
imports,has,more,5,193
Japan bank shares,jumped amid,speculation,10,194
it,build,plant in India,5,195
second plant,meet,country 's growing demand for cars,5,196
it,build,plant,5,197
plant,meet,country 's growing demand,5,198
second plant,meet,country 's demand,5,199
Hyundai,build,new India plant South Korea 's Hyundai Motor,5,200
Hyundai,build,India plant South Korea 's Hyundai Motor,5,201
plant,meet,country 's demand for cars,5,202
country,has,growing demand for cars,5,203
second plant,meet,country 's demand for cars,5,204
second plant,is in,India,5,205
it,build,second plant,5,206
second plant,meet,country 's growing demand,5,207
plant,meet,country 's demand,5,208
it,build,second plant in India,5,209
plant,meet,country 's growing demand for cars,5,210
it,says,trade,4,211
US,has asked,World Trade Organisation,4,212
US,has asked,World Trade Organisation,4,213
US,is in,EU tariff chaos trade row,4,214
World Trade Organisation,investigate,European Union customs tariffs,4,215
EU,has,US,4,216
EU,is at,US,4,217
tariff,has,chaos,4,218
tariff,has,inconsistent,4,219
tariff,has,trade,4,220
S lender,faces,liquidation Creditors of South Korea 's credit card firm,4,222
S Korean lender,faces,liquidation Creditors,4,223
S lender,faces,liquidation Creditors of South Korea 's top credit card firm,4,224
S Korean lender,faces,liquidation Creditors of South Korea 's credit card firm,4,225
S lender,faces,liquidation Creditors,4,226
S Korean lender,faces,liquidation Creditors of South Korea 's top credit card firm,4,227
dollar,has,slide,5,228
they,were planning,sell off,5,229
Asian banks,halt,dollar 's slide,5,230
they,were planning sell off,South Korea Japan denied,5,231
they,were planning sell off,South Korea denied,5,232
they,were planning sell off,Japan denied,5,233
they,were planning sell off,after South Korea Japan denied,5,234
they,were planning sell off,after South Korea denied,5,235
banks,halt,dollar 's slide,5,236
they,were planning sell off,after Japan denied,5,237
banks,is,Asian,5,238
Kreme shares,hit,Shares,10,239
Kreme shares,hit Shares in,Krispy Kreme Doughnuts,10,240
Krispy Kreme shares,hit,Shares,10,241
Krispy Kreme shares,hit Shares in,Krispy Kreme Doughnuts,10,242
firm,revealed,it,10,243
Doughnuts,have,financial,10,244
Post-Christmas lull,showed,post-Christmas lull,10,245
Post-Christmas lull,is in,lending UK mortgage lending,10,246
Post-Christmas lull,showed lull in,January,10,247
Post-Christmas lull,showed,lull,10,248
Post-Christmas,is at,lull,10,249
two senior executives,resigned,after uncovered,10,250
accounting irregularities,were,after uncovered at company,10,251
two senior executives,resigned,uncovered,10,252
two senior executives,resigned,uncovered at company,10,253
Senior Fannie Mae bosses,resign,two senior executives,10,254
irregularities,were,uncovered,10,255
two executives,resigned,uncovered at company,10,256
two executives,resigned,after uncovered,10,257
irregularities,were,after uncovered at company,10,258
Fannie Mae bosses,resign,two senior executives,10,259
Fannie Mae bosses,resign,two most senior executives,10,260
Senior Fannie Mae bosses,resign,two executives,10,261
irregularities,were,after uncovered,10,262
two executives,resigned,uncovered,10,263
Senior Fannie Mae bosses,resign,two most senior executives,10,264
two senior executives,resigned,after uncovered at company,10,265
irregularities,were uncovered at,company,10,266
accounting irregularities,were uncovered at,company,10,267
two executives,resigned,after uncovered at company,10,268
accounting irregularities,were,uncovered,10,269
accounting irregularities,were,after uncovered,10,270
Fannie Mae bosses,resign,two executives,10,271
Fannie,is,Senior,10,272
Yukos owner,sues Russia for,28bn majority owner of Russian oil firm Yukos,4,273
Yukos owner,sues Russia for,28bn majority owner,4,274
Yukos owner,sues Russia for,28bn majority owner of embattled oil firm Yukos,4,275
Yukos owner,sues,Russia,4,276
Yukos owner,sues Russia for,28bn majority owner of embattled Russian oil firm Yukos,4,277
Yukos owner,sues Russia for,28bn majority owner of oil firm Yukos,4,278
majority,embattled,Russian,4,279
majority,embattled,oil,4,280
Bargain calls,widen,has widened losses after heavy spending on new cut rate phone service,5,281
Bargain calls,widen,losses,5,282
Bargain calls,widen,Softbank loss communications Softbank,5,283
Bargain calls,widen,has widened losses after heavy spending on cut rate phone service,5,284
Bargain calls,widen,has widened losses,5,285
Bargain calls,widen,has widened losses after spending on new cut rate phone service,5,286
Bargain calls,widen,losses after heavy spending,5,287
Bargain calls,widen,Softbank loss communications firm Softbank,5,288
Bargain calls,widen,Softbank loss Japanese communications Softbank,5,289
Bargain calls,widen,Softbank loss Japanese communications firm Softbank,5,290
Bargain calls,widen,losses after spending,5,291
Bargain calls,widen,losses after heavy spending on cut rate phone service,5,292
Bargain calls,widen,losses after heavy spending on new cut rate phone service,5,293
Bargain calls,widen,losses after spending on new cut rate phone service,5,294
Bargain calls,widen,has widened losses after spending on cut rate phone service,5,295
Bargain calls,widen,losses after spending on cut rate phone service,5,296
Bargain calls,widen,has widened losses after spending,5,297
Bargain calls,widen,has widened losses after heavy spending,5,298
Irish company,hit in,Irish oil company Petrel Resources,10,299
contract,is in,Iraq,10,300
Irish company,hit by,report Shares,10,301
Irish company,hit by,Iraqi report Shares,10,302
company,hit in,oil company Petrel Resources,10,303
company,hit in,Irish oil company Petrel Resources,10,304
Irish company,hit in,oil company Petrel Resources,10,305
company,hit by,report Shares,10,306
company,hit by,Iraqi report Shares,10,307
company,is,Irish,10,308
UK homes,hit,Â,5,310
property slowdown Government figures,confirmed,widely reported slowdown,5,311
property slowdown Government figures,confirmed,reported slowdown in late 2004,5,312
property slowdown Government figures,confirmed,widely reported slowdown of UK 's housing market in late 2004,5,313
property slowdown Government figures,confirmed,widely reported slowdown of UK 's housing market,5,314
property slowdown Government figures,confirmed,slowdown of UK 's housing market in late 2004,5,315
property slowdown Government figures,confirmed,reported slowdown,5,316
reported slowdown,is in,late 2004,5,317
property slowdown Government figures,confirmed,reported slowdown of UK 's housing market,5,318
property slowdown Government figures,confirmed,widely reported slowdown in late 2004,5,319
property slowdown Government figures,confirmed,slowdown,5,320
property slowdown Government figures,confirmed,reported slowdown of UK 's housing market in late 2004,5,321
property slowdown Government figures,reported slowdown of,UK 's housing market,5,322
property slowdown Government figures,confirmed,slowdown of UK 's housing market,5,323
property slowdown Government figures,reported slowdown in,late 2004,5,324
property slowdown Government figures,confirmed,slowdown in late 2004,5,325
figures,have,late,5,326
Japanese mogul arrested,was,arrested on Thursday on charges of shareholder information,10,327
Japanese mogul arrested,was arrested on,Thursday,10,328
mogul arrested,was arrested on,charges of shareholder information,10,329
mogul arrested,was,arrested,10,330
mogul arrested,was arrested on,charges of falsifying shareholder information,10,331
mogul arrested,was,arrested on Thursday on charges of shareholder information,10,332
Japanese mogul arrested,was,arrested on Thursday on charges,10,333
Japanese mogul arrested,was arrested on,charges,10,334
mogul arrested,was,arrested on Thursday on charges of falsifying shareholder information,10,335
Japanese mogul arrested,was,arrested,10,336
mogul arrested,was arrested on,charges,10,337
mogul arrested,was,arrested on Thursday on charges,10,338
mogul arrested,was arrested on,Thursday,10,339
Japanese mogul arrested,was arrested on,charges of falsifying shareholder information,10,340
Japanese mogul arrested,was arrested on,charges of shareholder information,10,341
Japanese mogul arrested,was,arrested on Thursday on charges of falsifying shareholder information,10,342
mogul,is,Japanese,10,343
MCI shares,climb on,takeover bid Shares,10,344
it,is in,takeover talks,10,345
MCI shares,climb in,US phone company MCI,10,346
Winter freeze,keeps,oil,5,347
Winter freeze,keeps oil above,50 Oil prices,5,348
oil,carried on,Wednesday,5,349
oil,carried on,rising,5,350
oil,carried after,weather on sides of North Atlantic,5,351
oil,carried after,cold weather on sides of North Atlantic,5,352
rule,is,Golden,7,353
rule,is at,boost,7,354
rule,has,boost,7,355
rule,has,Â,7,356
owner,sell shares to,public,10,357
owner,sell,shares,10,358
technology,dominated,public,10,359
firms,hit by,costs ' fuel costs,5,360
Small firms,hit by,rising costs ' Rising fuel costs,5,361
firms,hit by,rising costs ' Rising fuel costs,5,362
firms,hit by,rising costs ' fuel costs,5,363
firms,hit despite,rise in output,5,364
Small firms,hit by,costs ' fuel costs,5,365
firms,hit by,costs ' Rising fuel costs,5,366
Small firms,hit despite,rise,5,367
Small firms,hit by,rising costs ' fuel costs,5,368
rise,is in,output,5,369
firms,hit despite,rise,5,370
Small firms,hit despite,rise in output,5,371
firms,hit despite,business lobby group CBI,5,372
Small firms,hit by,costs ' Rising fuel costs,5,373
Small firms,hit despite,business lobby group CBI,5,374
firms,is,Small,5,375
survey,call,centres,5,376
users,lose,impatient,5,377
users,lose,patience,5,378
Worldcom ex-boss,launches,defence Lawyers,4,379
defence Lawyers,called company whistleblower as,their witness,4,380
defence Lawyers,called company whistleblower as,their first witness,4,381
defence Lawyers,called,company whistleblower,4,382
defence Lawyers,called as,their witness,4,383
defence Lawyers,called as,their first witness,4,384
waves,is,Giant,2,385
blizzard,add up to,tale,10,386
Market,unfazed by,Aurora setback,10,387
blizzard,add up to,tale of woe,10,388
Market,unfazed,As Aurora limped,10,389
Market,unfazed,Aurora limped back,10,390
Market,unfazed,Aurora limped back to its dock,10,391
Aurora,limped on,20 January,10,392
Market,unfazed,Aurora limped on 20 January,10,393
blizzard,add up to,unambiguous tale,10,394
Market,unfazed,As Aurora limped back,10,395
Market,unfazed,Aurora limped back on 20 January,10,396
Market,unfazed,As Aurora limped back on 20 January,10,397
Market,unfazed,Aurora limped back to its dock on 20 January,10,398
Market,unfazed,As Aurora limped back to its dock on 20 January,10,399
Market,unfazed,As Aurora limped back to its dock,10,400
Market,unfazed,Aurora limped,10,401
blizzard,add up to,unambiguous tale of woe,10,402
Market,unfazed,As Aurora limped on 20 January,10,403
Aurora,limped back on,20 January,10,404
setback,limped,unambiguous,10,405
six zeros,relaunch,its currency,5,406
Turkey,knocks,six zeros,5,407
Turkey,is at,zeros,5,408
US prepares,are,set,5,409
US prepares,are set,double in 2005,5,410
US prepares,double in,2005,5,411
US prepares,are set,to double,5,412
hybrid onslaught Sales,is in,US,5,413
US prepares,are set,to double in 2005,5,414
Fiat,is,cylinder,10,415
Fiat,is,sporty,10,416
Fiat,is,petrol,10,417
Fiat,is,Italian,10,418
Fiat,is,subsidiary,10,419
M&S,cuts,prices in London,10,420
M&S,cuts prices by,average,10,421
M&S,cuts prices by,average,10,422
M&S,cuts,prices by average,10,423
M&S,cuts prices according,research,10,424
M&S,cuts prices according,research,10,425
M&S,cuts,prices by average of 24 %,10,426
M&S,cuts,has cut prices by average of 24 %,10,427
M&S,cuts,has cut prices in London by average of 24 %,10,428
M&S,cuts prices according,research from City investment bank,10,429
M&S,cuts prices according,research from City investment bank,10,430
has cut prices,is in,London,10,431
M&S,cuts,prices in London by average,10,432
M&S,cuts,has cut prices in London,10,433
M&S,cuts,prices in London by average of 24 %,10,434
M&S,cuts,has cut prices by average,10,435
M&S,cuts,prices,10,436
M&S,cuts,prices,10,437
M&S,cuts prices by,average of 24 % Marks,10,438
M&S,cuts prices by,average of 24 % Marks,10,439
M&S,cuts,has cut prices,10,440
M&S,cuts,has cut prices in London by average,10,441
M&S,is at,prices,10,442
known company,bought production unit at,auction,10,443
Russian company,bought,main production unit,10,444
Russian company,bought,production unit,10,445
Russian company,bought,main production unit of oil giant Yukos,10,446
known company,bought,main production unit,10,447
known Russian company,bought,production unit,10,448
known Russian company,bought,main production unit,10,449
Russian company,bought production unit at,auction,10,450
little known Russian company,bought production unit at,auction,10,451
little known company,bought production unit at,auction in Moscow,10,452
little known company,bought,main production unit of oil giant Yukos,10,453
company,bought,main production unit of oil giant Yukos,10,454
little known Russian company,bought production unit at,auction in Moscow,10,455
company,bought,production unit of oil giant Yukos,10,456
known Russian company,bought production unit at,auction in Moscow,10,457
little known company,bought,production unit of oil giant Yukos,10,458
little known company,bought,main production unit,10,459
known company,bought production unit at,auction in Moscow,10,460
company,bought,production unit,10,461
little known Russian company,bought,production unit,10,462
company,bought production unit at,auction in Moscow,10,463
auction,is in,Moscow,10,464
little known Russian company,bought,main production unit,10,465
little known company,bought production unit at,auction,10,466
known company,bought,main production unit of oil giant Yukos,10,467
company,bought,main production unit,10,468
known Russian company,bought,production unit of oil giant Yukos,10,469
Russian company,bought,production unit of oil giant Yukos,10,470
company,bought production unit at,auction,10,471
little known Russian company,bought,production unit of oil giant Yukos,10,472
known company,bought,production unit,10,473
known Russian company,bought,main production unit of oil giant Yukos,10,474
little known company,bought,production unit,10,475
little known Russian company,bought,main production unit of oil giant Yukos,10,476
known Russian company,bought production unit at,auction,10,477
known company,bought,production unit of oil giant Yukos,10,478
Russian company,bought production unit at,auction in Moscow,10,479
China,keeps,rein,5,480
China,keeps,tight rein,5,481
China,is at,rein,5,482
takeover bid,be,raised,10,483
takeover bid,be raised to,Â,10,484
Boerse,woo,Bosses,10,485
Boerse,woo,talk,10,486
bonus payments Life insurer Axa Sun Life,lowered,annual bonus payouts,10,487
bonus payments Life insurer Axa Sun Life,lowered,"annual bonus payouts for up to 50,000 with profits investors",10,488
bonus payments Life insurer Axa Sun Life,lowered,"bonus payouts for up to 50,000 with profits investors",10,489
Axa Sun Life,cuts,bonus payments Life insurer Axa Sun Life,10,490
bonus payments Life insurer Axa Sun Life,lowered,bonus payouts,10,491
insurer,has,annual,10,492
car maker BMW,has announced,Â,5,493
German car maker BMW,has announced,Â,5,494
BMW cash,fuel,production,5,495
BMW cash,fuel,Mini production,5,496
its profits,soar to,its acquisition last year,5,497
its profits,soar thanks to,its acquisition last year,5,498
its profits,soar thanks to,its acquisition of Brazil 's biggest beer firm year,5,499
its profits,soar thanks to,its acquisition of Brazil 's beer firm last year,5,500
its profits,soar to,its acquisition of Brazil 's biggest beer firm last year,5,501
its profits,soar to,its acquisition of Brazil 's beer firm year,5,502
its profits,soar thanks to,its acquisition of Brazil 's beer firm year,5,503
its profits,soar to,its acquisition of Brazil 's biggest beer firm year,5,504
its profits,soar thanks to,its acquisition of Brazil 's biggest beer firm last year,5,505
its profits,soar,thanks,5,506
its profits,soar to,its acquisition year,5,507
its profits,soar thanks to,its acquisition year,5,508
its profits,soar to,its acquisition of Brazil 's beer firm last year,5,509
Belgium,has,Inbev Belgian brewing giant,5,510
go,Go ahead for,oil pipeline Albania,10,511
go,Go for,Balkan oil pipeline Albania,10,512
go,Go for,oil pipeline Albania,10,513
go,Go ahead for,Balkan oil pipeline Albania,10,514
oil,is,Balkan,10,515
Macedonia,has,go,10,516
High fuel costs,hit,US airlines Two of airlines,5,517
High fuel costs,hit,US airlines Two largest airlines,5,518
fuel costs,hit,US airlines Two of airlines,5,519
High fuel costs,hit,US airlines Two,5,520
fuel costs,hit,US airlines Two of largest airlines,5,521
fuel costs,hit,US airlines Two airlines,5,522
High fuel costs,hit,US airlines Two of largest airlines,5,523
fuel costs,hit,US airlines Two,5,524
High fuel costs,hit,US airlines Two airlines,5,525
fuel costs,hit,US airlines Two largest airlines,5,526
fuel,is,High,5,527
trial,started in,New York,10,529
WorldCom trial,starts in,New York,10,530
trial,started with,selection,10,531
trial,started with,selection of jury,10,532
Business,fears,European leaders gather,5,533
European leaders,sign,new EU constitution,5,534
leaders,gather in,Rome,5,535
Business,fears,leaders gather on Friday,5,536
Business,fears,As leaders gather on Friday,5,537
Business,fears,leaders gather,5,538
Business,fears over,sluggish EU economy,5,539
Business,fears,European leaders gather in Rome on Friday,5,540
Business,fears,As European leaders gather,5,541
Business,fears,leaders gather in Rome on Friday,5,542
leaders,sign,new EU constitution,5,543
Business,fears,As European leaders gather on Friday,5,544
Business,fears,As leaders gather in Rome,5,545
leaders,gather on,Friday,5,546
Business,fears,As European leaders gather in Rome on Friday,5,547
Business,fears,European leaders gather in Rome,5,548
European leaders,sign,EU constitution,5,549
Business,fears,As leaders gather in Rome on Friday,5,550
Business,fears,As leaders gather,5,551
European leaders,gather in,Rome,5,552
leaders,sign,EU constitution,5,553
Business,fears over,EU economy,5,554
Business,fears,leaders gather in Rome,5,555
European leaders,gather on,Friday,5,556
Business,fears,European leaders gather on Friday,5,557
Business,fears,As European leaders gather in Rome,5,558
approach,buy,Manchester United,10,559
fresh approach,buy,Manchester United,10,560
Man Utd approach Malcolm Glazer,made,approach,10,561
new Man Utd approach Malcolm Glazer,made,approach,10,562
new Man Utd approach Malcolm Glazer,made,fresh approach,10,563
Man Utd approach Malcolm Glazer,made,fresh approach,10,564
Malcolm,has,bid,10,565
Malcolm,has,fresh,10,566
Malcolm,has,club,10,567
business confidence slides German business confidence,fell,knocking hopes of recovery in Europe 's largest economy,5,568
German business confidence slides business confidence,fell,hopes of speedy recovery,5,569
business confidence slides business confidence,fell,hopes,5,570
business confidence slides business confidence,fell,hopes of speedy recovery,5,571
German business confidence slides business confidence,fell,hopes of recovery,5,572
German business confidence slides business confidence,fell,knocking hopes of recovery in Europe 's economy,5,573
business confidence slides German business confidence,fell,hopes of speedy recovery in Europe 's largest economy,5,574
business confidence slides business confidence,fell,hopes of speedy recovery in Europe 's economy,5,575
German business confidence slides business confidence,fell,knocking hopes of speedy recovery in Europe 's largest economy,5,576
German business confidence slides German business confidence,fell,knocking hopes of speedy recovery in Europe 's economy,5,577
business confidence slides business confidence,fell,knocking hopes of speedy recovery,5,578
German business confidence slides German business confidence,fell,hopes,5,579
business confidence slides German business confidence,fell,knocking hopes of recovery,5,580
German business confidence slides German business confidence,fell,hopes of speedy recovery,5,581
business confidence slides business confidence,fell,knocking hopes of recovery,5,582
German business confidence slides German business confidence,fell,knocking hopes of recovery in Europe 's largest economy,5,583
German business confidence slides business confidence,fell,knocking hopes,5,584
business confidence slides business confidence,fell,hopes of recovery in Europe 's largest economy,5,585
business confidence slides German business confidence,fell,hopes,5,586
business confidence slides business confidence,fell,hopes of recovery in Europe 's economy,5,587
business confidence slides German business confidence,fell,knocking hopes,5,588
business confidence slides German business confidence,fell,hopes of speedy recovery,5,589
business confidence slides German business confidence,fell,hopes of recovery in Europe 's economy,5,590
business confidence slides German business confidence,fell,hopes of speedy recovery in Europe 's economy,5,591
German business confidence slides German business confidence,fell,knocking hopes of recovery,5,592
business confidence slides German business confidence,fell hopes in,February,5,593
business confidence slides business confidence,fell,hopes of speedy recovery in Europe 's largest economy,5,594
business confidence slides German business confidence,fell,hopes of recovery,5,595
business confidence slides business confidence,fell,knocking hopes,5,596
German business confidence slides German business confidence,fell,hopes of recovery in Europe 's largest economy,5,597
German business confidence slides German business confidence,fell,hopes of speedy recovery in Europe 's economy,5,598
business confidence slides German business confidence,fell,hopes of recovery in Europe 's largest economy,5,599
German business confidence slides German business confidence,fell,knocking hopes of recovery in Europe 's economy,5,600
German business confidence slides business confidence,fell,hopes of recovery in Europe 's largest economy,5,601
business confidence slides business confidence,fell,knocking hopes of speedy recovery in Europe 's largest economy,5,602
German business confidence slides business confidence,fell,knocking hopes of recovery in Europe 's largest economy,5,603
German business confidence slides business confidence,fell,hopes of speedy recovery in Europe 's economy,5,604
German business confidence slides German business confidence,fell hopes in,February,5,605
business confidence slides business confidence,fell,knocking hopes of recovery in Europe 's economy,5,606
German business confidence slides business confidence,fell,knocking hopes of recovery,5,607
business confidence slides business confidence,fell in,February,5,608
German business confidence slides business confidence,fell,hopes,5,609
business confidence slides business confidence,fell,knocking hopes of recovery in Europe 's largest economy,5,610
German business confidence slides business confidence,fell,knocking hopes of speedy recovery in Europe 's economy,5,611
German business confidence slides German business confidence,fell,hopes of recovery,5,612
German business confidence slides business confidence,fell in,February,5,613
